passenger_id,first_name,last_name,gender,nationality,age
1,First1,Last1,Female,France,71
2,First2,Last2,Female,UK,46
3,First3,Last3,Female,Canada,39
4,First4,Last4,Female,Singapore,38
5,First5,Last5,Male,Germany,54
6,First6,Last6,Female,Germany,72
7,First7,Last7,Female,India,38
8,First8,Last8,Female,Australia,42
9,First9,Last9,Male,Singapore,20
10,First10,Last10,Male,Japan,55
11,First11,Last11,Female,USA,73
12,First12,Last12,Female,USA,51
13,First13,Last13,Female,India,64
14,First14,Last14,Male,Australia,73
15,First15,Last15,Male,USA,48
16,First16,Last16,Female,Canada,57
17,First17,Last17,Female,USA,72
18,First18,Last18,Female,Japan,42
19,First19,Last19,Female,Singapore,73
20,First20,Last20,Male,UAE,22
21,First21,Last21,Male,France,32
22,First22,Last22,Male,Australia,24
23,First23,Last23,Male,Singapore,28
24,First24,Last24,Female,India,20
25,First25,Last25,Female,India,36
26,First26,Last26,Female,Canada,45
27,First27,Last27,Male,Germany,51
28,First28,Last28,Female,UAE,61
29,First29,Last29,Male,UK,29
30,First30,Last30,Male,UAE,73
31,First31,Last31,Female,UAE,61
32,First32,Last32,Male,Singapore,55
33,First33,Last33,Male,Germany,47
34,First34,Last34,Female,Singapore,34
35,First35,Last35,Male,Singapore,75
36,First36,Last36,Female,Japan,28
37,First37,Last37,Male,Singapore,40
38,First38,Last38,Female,Australia,62
39,First39,Last39,Female,Singapore,72
40,First40,Last40,Female,Germany,42
41,First41,Last41,Female,USA,33
42,First42,Last42,Female,UAE,40
43,First43,Last43,Female,France,19
44,First44,Last44,Female,France,18
45,First45,Last45,Male,UAE,65
46,First46,Last46,Female,France,67
47,First47,Last47,Male,UAE,69
48,First48,Last48,Female,Germany,58
49,First49,Last49,Male,UAE,34
50,First50,Last50,Male,USA,75
51,First51,Last51,Male,France,68
52,First52,Last52,Female,India,55
53,First53,Last53,Female,UK,23
54,First54,Last54,Female,Canada,65
55,First55,Last55,Female,UK,30
56,First56,Last56,Male,Japan,74
57,First57,Last57,Female,Japan,50
58,First58,Last58,Female,UK,34
59,First59,Last59,Female,France,65
60,First60,Last60,Female,USA,47
61,First61,Last61,Male,UK,66
62,First62,Last62,Male,Australia,72
63,First63,Last63,Female,USA,68
64,First64,Last64,Female,India,34
65,First65,Last65,Male,Singapore,41
66,First66,Last66,Female,UAE,42
67,First67,Last67,Female,USA,61
68,First68,Last68,Male,Singapore,19
69,First69,Last69,Female,UAE,32
70,First70,Last70,Male,Singapore,62
71,First71,Last71,Female,Australia,25
72,First72,Last72,Male,India,20
73,First73,Last73,Female,Singapore,25
74,First74,Last74,Male,Germany,74
75,First75,Last75,Male,Australia,47
76,First76,Last76,Female,Japan,44
77,First77,Last77,Male,Australia,59
78,First78,Last78,Male,Singapore,57
79,First79,Last79,Female,France,20
80,First80,Last80,Female,Germany,46
81,First81,Last81,Female,Germany,72
82,First82,Last82,Female,USA,61
83,First83,Last83,Female,Japan,75
84,First84,Last84,Female,India,43
85,First85,Last85,Female,Germany,25
86,First86,Last86,Female,USA,60
87,First87,Last87,Male,UAE,19
88,First88,Last88,Male,Canada,33
89,First89,Last89,Male,UAE,31
90,First90,Last90,Male,Japan,31
91,First91,Last91,Male,Germany,39
92,First92,Last92,Male,UAE,18
93,First93,Last93,Female,UK,26
94,First94,Last94,Female,UK,25
95,First95,Last95,Male,UK,18
96,First96,Last96,Female,Germany,55
97,First97,Last97,Female,India,29
98,First98,Last98,Female,India,26
99,First99,Last99,Female,Japan,25
100,First100,Last100,Male,Singapore,46
101,First101,Last101,Female,Japan,55
102,First102,Last102,Male,Singapore,50
103,First103,Last103,Male,UAE,20
104,First104,Last104,Female,Singapore,59
105,First105,Last105,Male,India,48
106,First106,Last106,Female,Australia,61
107,First107,Last107,Male,Singapore,63
108,First108,Last108,Female,USA,75
109,First109,Last109,Male,Canada,56
110,First110,Last110,Male,USA,26
111,First111,Last111,Female,UAE,58
112,First112,Last112,Female,Australia,56
113,First113,Last113,Female,Singapore,50
114,First114,Last114,Female,USA,68
115,First115,Last115,Male,Japan,64
116,First116,Last116,Male,Australia,46
117,First117,Last117,Male,Australia,39
118,First118,Last118,Female,Australia,44
119,First119,Last119,Male,Canada,45
120,First120,Last120,Female,France,41
121,First121,Last121,Male,Singapore,22
122,First122,Last122,Male,USA,23
123,First123,Last123,Female,USA,65
124,First124,Last124,Female,UK,53
125,First125,Last125,Male,UAE,53
126,First126,Last126,Female,USA,44
127,First127,Last127,Female,Australia,73
128,First128,Last128,Male,France,56
129,First129,Last129,Female,Canada,24
130,First130,Last130,Male,UK,60
131,First131,Last131,Female,Germany,72
132,First132,Last132,Male,Canada,72
133,First133,Last133,Female,USA,66
134,First134,Last134,Female,UAE,32
135,First135,Last135,Female,Japan,67
136,First136,Last136,Male,UAE,60
137,First137,Last137,Female,India,29
138,First138,Last138,Female,France,39
139,First139,Last139,Female,India,29
140,First140,Last140,Male,UAE,60
141,First141,Last141,Female,USA,27
142,First142,Last142,Male,USA,65
143,First143,Last143,Male,Australia,44
144,First144,Last144,Female,Canada,28
145,First145,Last145,Female,France,64
146,First146,Last146,Female,UAE,56
147,First147,Last147,Male,India,27
148,First148,Last148,Male,UAE,21
149,First149,Last149,Male,France,46
150,First150,Last150,Female,Singapore,56
151,First151,Last151,Female,Australia,35
152,First152,Last152,Male,Japan,25
